"County","Sector","2018","Total Usage"
"ALAMEDA","Total","   10343.892364","   10343.892364"
"ALPINE","Total","      18.677135","      18.677135"
"AMADOR","Total","     299.154772","     299.154772"
"BUTTE","Total","    1474.660297","    1474.660297"
"CALAVERAS","Total","     333.097984","     333.097984"
"COLUSA","Total","     298.711402","     298.711402"
"CONTRA COSTA","Total","    9308.494455","    9308.494455"
"DEL NORTE","Total","     205.808598","     205.808598"
"EL DORADO","Total","    1218.436984","    1218.436984"
"FRESNO","Total","    7604.617677","    7604.617677"
"GLENN","Total","     403.554333","     403.554333"
"HUMBOLDT","Total","     798.091526","     798.091526"
"IMPERIAL","Total","    1436.243557","    1436.243557"
"INYO","Total","     210.420444","     210.420444"
"KERN","Total","   15806.576500","   15806.576500"
"KINGS","Total","    1760.666278","    1760.666278"
"LAKE","Total","     442.593960","     442.593960"
"LASSEN","Total","     374.867347","     374.867347"
"LOS ANGELES","Total","   67856.281249","   67856.281249"
"MADERA","Total","    1650.726215","    1650.726215"
"MARIN","Total","    1324.747796","    1324.747796"
"MARIPOSA","Total","     112.995737","     112.995737"
"MENDOCINO","Total","     566.480545","     566.480545"
"MERCED","Total","    3558.916991","    3558.916991"
"MODOC","Total","     148.255375","     148.255375"
"MONO","Total","     195.334973","     195.334973"
"MONTEREY","Total","    2487.983150","    2487.983150"
"NAPA","Total","    1027.889369","    1027.889369"
"NEVADA","Total","     716.942460","     716.942460"
"ORANGE","Total","   19858.202310","   19858.202310"
"PLACER","Total","    2905.650594","    2905.650594"
"PLUMAS","Total","     205.112501","     205.112501"
"RIVERSIDE","Total","   15980.727891","   15980.727891"
"SACRAMENTO","Total","   10914.555683","   10914.555683"
"SAN BENITO","Total","     377.803527","     377.803527"
"SAN BERNARDINO","Total","   15323.268766","   15323.268766"
"SAN DIEGO","Total","   19749.420457","   19749.420457"
"SAN FRANCISCO","Total","    5602.281477","    5602.281477"
"SAN JOAQUIN","Total","    5629.303536","    5629.303536"
"SAN LUIS OBISPO","Total","    1765.961405","    1765.961405"
"SAN MATEO","Total","    4225.602787","    4225.602787"
"SANTA BARBARA","Total","    2791.159884","    2791.159884"
"SANTA CLARA","Total","   16668.160600","   16668.160600"
"SANTA CRUZ","Total","    1207.152645","    1207.152645"
"SHASTA","Total","    1549.191627","    1549.191627"
"SIERRA","Total","      20.957007","      20.957007"
"SISKIYOU","Total","     485.346458","     485.346458"
"SOLANO","Total","    3226.235693","    3226.235693"
"SONOMA","Total","    2914.372382","    2914.372382"
"STANISLAUS","Total","    3933.910428","    3933.910428"
"SUTTER","Total","     634.657910","     634.657910"
"TEHAMA","Total","     506.305761","     506.305761"
"TRINITY","Total","     130.697411","     130.697411"
"TULARE","Total","    4433.976762","    4433.976762"
"TUOLUMNE","Total","     453.046485","     453.046485"
"VENTURA","Total","    5430.658816","    5430.658816"
"YOLO","Total","    1707.461655","    1707.461655"
"YUBA","Total","     503.891499","     503.891499"
