Area,Amount,Sub,Color,Type
State pensions,62,N,Pink,Giving
Mortgage lending 2007,102,N,Violet,Lending
Value of personal wealth,393,N,Brown,Hoarding
Roman Abramovich,7,N,Brown,Hoarding
Income support,9,N,Pink,Giving
Aid,5,N,Pink,Giving
Tobacco tax,8,N,Green,Earning
Defense Budget,45,N,Grey,Fighting
Mortgage Lending 2008,40,N,Violet,Lending
Housing Benefit,17,N,Pink,Giving
2012 Spending,7,N,Blue,Spending
Tesco revenue,59,N,Green,Earning
Tesco profits,3,Y,Green,Earning
Schools,29,N,Pink,Giving
Local government,37,N,Blue,Spending
Trident,104,N,Grey,Fighting
Police,8,N,Blue,Spending
Tax credits,23,N,Blue,Spending
Tax credit fraud,1,N,Tan,Bailing
Cost of sickies to industry,13,N,Tan,Bailing
Tax heavens,12,N,Tan,Bailing
Income Tax,152,N,Green,Earning
Income from VAT,80,N,Green,Earning
Income from corporation tax,47,N,Green,Earning
Income from National Insurance,100,N,Green,Earning
Bailout: Asset Purchase & Lending,400,N,Tan,Bailing
Bailout: Cash,200,N,Tan,Bailing
NHS,102,N,Pink,Giving
NHS IT Project,13,Y,Blue,Spending
Amount spent on food yearly,160,N,Blue,Spending
Bailout: Nationalizing Banks,289,N,Blue,Spending
"Lloyds, RBS & HBOS",56,Y,Blue,Spending
"NR, Bradford & Bingley",48,Y,Blue,Spending
"Budget Deficit",175,N,Black,Deficit
"Africa's debt to West",128,N,Pink,Giving
