Name,Population,Area
Alameda,1510271,738
Alpine,1175,739
Amador,38091,593
Butte,220000,1640
Calaveras,45578,1020
Colusa,21419,1151
Contra Costa,1049025,720
Del Norte,28610,1008
El Dorado,181058,1712
Fresno,930450,5963
Glenn,28122,1315
Humboldt,134623,3573
Imperial,174528,4175
Inyo,18546,10192
Kern,839631,8142
Kings,152982,1390
Lake,64665,1258
Lassen,34895,4558
Los Angeles,9818605,4060
Madera,150865,2138
Marin,252409,520
Mariposa,18251,1451
Mendocino,87841,3509
Merced,255793,1929
Modoc,9686,3944
Mono,14202,3044
Monterey,415057,3322
Napa,136484,754
Nevada,98764,958
Orange,3010232,790
Placer,348432,1503
Plumas,20007,2554
Riverside,2189641,7208
Sacramento,1418788,966
San Benito,55269,1389
San Bernardino,2035210,20062
San Diego,3095313,4204
San Francisco,805235,47
San Joaquin,685306,1399
San Luis Obispo,269637,3304
San Mateo,718451,449
Santa Barbara,423895,2738
Santa Clara,1781642,1291
Santa Cruz,262382,446
Shasta,177223,3786
Sierra,3240,953
Siskiyou,44900,6287
Solano,413344,828
Sonoma,483878,1576
Stanislaus,514453,1495
Sutter,94737,603
Tehama,63463,2951
Trinity,13786,3179
Tulare,442179,4824
Tuolumne,55365,2236
Ventura,823318,1846
Yolo,200849,1012
Yuba,72155,630
