Cancer,5y,10y,15y,20y,5yerror,10yerror,15yerror,20yerror
"Prostate",98.8,95.2,87.1,81.1,0.4,0.9,1.7,3.0
"Thyroid",96.0,95.8,94.0,95.4,0.8,1.2,1.6,2.1
"Liver",7.5,5.8,6.3,7.6,1.1,1.2,1.5,2.0
"Testis",94.7,94.0,91.1,88.2,1.1,1.3,1.8,2.3
"Melanomas",89.0,86.7,83.5,82.8,0.8,1.1,1.5,1.9
"Breast",86.4,78.3,71.3,65.0,0.4,0.6,0.7,1.0
"Hodgkin's disease",85.1,79.8,73.8,67.1,1.7,2.0,2.4,2.8
"Uterus",84.3,83.2,80.8,79.2,1.0,1.3,1.7,2.0
"Bladder",82.1,76.2,70.3,67.9,1.0,1.4,1.9,2.4
"Cervix",70.5,64.1,62.8,60.0,1.6,1.8,2.1,2.4
"Larynx",68.8,56.7,45.8,37.8,2.1,2.5,2.8,3.1
"Rectum",62.6,55.2,51.8,49.2,1.2,1.4,1.8,2.3
"Kidney",61.8,54.4,49.8,47.3,1.3,1.6,2.0,2.6
"Colon",61.7,55.4,53.9,52.3,0.8,1.0,1.2,1.6
"Non-Hodgkin's",57.8,46.3,38.3,34.3,1.0,1.2,1.4,1.7
"Pharynx",56.7,44.2,37.5,33.0,1.3,1.4,1.6,1.8
"Ovary",55.0,49.3,49.9,49.6,1.3,1.6,1.9,2.4
"Leukemia",42.5,32.4,29.7,26.2,1.2,1.3,1.5,1.7
"Brain",32.0,29.2,27.6,26.1,1.4,1.5,1.6,1.9
"Multiple myeloma",29.5,12.7,7.0,4.8,1.6,1.5,1.3,1.5
"Stomach",23.8,19.4,19.0,14.9,1.3,1.4,1.7,1.9
"Lung and bronchus",15.0,10.6,8.1,6.5,0.4,0.4,0.4,0.4
"Esophagus",14.2,7.9,7.7,5.4,1.4,1.3,1.6,2.0
"Pancreas",4.0,3.0,2.7,2.7,0.5,1.5,0.6,0.8
