Date,cushing.nominal,cpi,conversion,cushing.constant
Jan-1986,22.93,109.600,1,22.93
Feb-1986,15.46,109.300,0.997262774,15.50243367
Mar-1986,12.61,108.800,0.99270073,12.70272059
Apr-1986,12.84,108.600,0.990875912,12.95823204
May-1986,15.38,108.900,0.993613139,15.47886134
Jun-1986,13.43,109.500,0.999087591,13.44226484
Jul-1986,11.59,109.500,0.999087591,11.60058447
Aug-1986,15.10,109.700,1.000912409,15.08623519
Sep-1986,14.87,110.200,1.005474453,14.78903811
Oct-1986,14.90,110.300,1.006386861,14.80543971
Nov-1986,15.22,110.400,1.00729927,15.10971014
Dec-1986,16.11,110.500,1.008211679,15.97878733
Jan-1987,18.65,111.200,1.01459854,18.38165468
Feb-1987,17.75,111.600,1.018248175,17.43189964
Mar-1987,18.30,112.100,1.022810219,17.89188225
Apr-1987,18.68,112.700,1.028284672,18.16617569
May-1987,19.44,113.100,1.031934307,18.83840849
Jun-1987,20.07,113.500,1.035583942,19.38037004
Jul-1987,21.34,113.800,1.038321168,20.55240773
Aug-1987,20.31,114.400,1.04379562,19.45783217
Sep-1987,19.53,115.000,1.049270073,18.61293913
Oct-1987,19.86,115.300,1.052007299,18.87819601
Nov-1987,18.85,115.400,1.052919708,17.90259965
Dec-1987,17.28,115.400,1.052919708,16.4115078
Jan-1988,17.13,115.700,1.055656934,16.22686258
Feb-1988,16.80,116.000,1.058394161,15.87310345
Mar-1988,16.20,116.500,1.062956204,15.24051502
Apr-1988,17.86,117.100,1.068430657,16.71610589
May-1988,17.42,117.500,1.072080292,16.24878298
Jun-1988,16.53,118.000,1.076642336,15.35328814
Jul-1988,15.50,118.500,1.08120438,14.33586498
Aug-1988,15.52,119.000,1.085766423,14.29405042
Sep-1988,14.54,119.800,1.093065693,13.30203673
Oct-1988,13.77,120.200,1.096715328,12.55567388
Nov-1988,14.14,120.300,1.097627737,12.88232751
Dec-1988,16.38,120.500,1.099452555,14.89832365
Jan-1989,18.02,121.100,1.104927007,16.30876961
Feb-1989,17.94,121.600,1.109489051,16.16960526
Mar-1989,19.48,122.300,1.115875912,17.45713818
Apr-1989,21.07,123.100,1.123175182,18.75931763
May-1989,20.12,123.800,1.129562044,17.81221325
Jun-1989,20.05,124.100,1.13229927,17.7073328
Jul-1989,19.78,124.400,1.135036496,17.42675241
Aug-1989,18.58,124.600,1.136861314,16.34324238
Sep-1989,19.59,125.000,1.140510949,17.176512
Oct-1989,20.10,125.600,1.145985401,17.53949045
Nov-1989,19.86,125.900,1.148722628,17.28876886
Dec-1989,21.10,126.100,1.150547445,18.33909596
Jan-1990,22.86,127.400,1.162408759,19.66605965
Feb-1990,22.11,128.000,1.167883212,18.9316875
Mar-1990,20.39,128.700,1.174270073,17.36397824
Apr-1990,18.43,128.900,1.176094891,15.67050427
May-1990,18.20,129.200,1.178832117,15.43900929
Jun-1990,16.70,129.900,1.185218978,14.09022325
Jul-1990,18.45,130.400,1.189781022,15.50705521
Aug-1990,27.31,131.600,1.200729927,22.74449848
Sep-1990,33.51,132.700,1.210766423,27.67668425
Oct-1990,36.04,133.500,1.218065693,29.58789513
Nov-1990,32.33,133.800,1.22080292,26.482571
Dec-1990,27.28,133.800,1.22080292,22.34594918
Jan-1991,25.23,134.600,1.22810219,20.54389302
Feb-1991,20.48,134.800,1.229927007,16.65139466
Mar-1991,19.90,135.000,1.231751825,16.15585185
Apr-1991,20.83,135.200,1.233576642,16.88585799
May-1991,21.23,135.600,1.237226277,17.15935103
Jun-1991,20.19,136.000,1.240875912,16.27076471
Jul-1991,21.40,136.200,1.24270073,17.220558
Aug-1991,21.69,136.600,1.246350365,17.40281113
Sep-1991,21.89,137.200,1.251824818,17.4864723
Oct-1991,23.23,137.400,1.253649635,18.52989811
Nov-1991,22.46,137.800,1.25729927,17.8636865
Dec-1991,19.50,137.900,1.258211679,15.49818709
Jan-1992,18.79,138.100,1.260036496,14.91226647
Feb-1992,19.01,138.600,1.26459854,15.03243867
Mar-1992,18.92,139.300,1.270985401,14.88608758
Apr-1992,20.23,139.500,1.272810219,15.89396416
May-1992,20.98,139.700,1.274635036,16.45961346
Jun-1992,22.39,140.200,1.27919708,17.5031669
Jul-1992,21.78,140.500,1.281934307,16.98995018
Aug-1992,21.34,140.900,1.285583942,16.59946061
Sep-1992,21.88,141.300,1.289233577,16.97132343
Oct-1992,21.69,141.800,1.29379562,16.76462623
Nov-1992,20.34,142.000,1.295620438,15.69904225
Dec-1992,19.41,141.900,1.294708029,14.99179704
