Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,52.9,52.4,55.8,53.9,59.5,62.1,60.7,62.6,61,58,55.5,50.3
1901,49,52,54,51.7,55.9,58.8,60,61.4,59.4,60.6,55,49.1
1902,46.8,50.1,50.1,54.1,56.8,59.9,61.6,62.8,62.3,58,52,49.5
1903,49.4,45.9,51.1,53.6,56.5,61.9,60.1,62,60.4,60.1,54.1,50.9
1904,47.7,50.5,52,55.3,56.9,60.5,61.4,61.8,63.9,60,55.6,49.2
1905,50.6,52.9,55.8,55.7,55.7,58.7,63,61.9,61.1,58.2,53.3,48.6
1906,50.1,54,53.2,56.9,57.3,61.6,65.5,62.6,63.6,61.8,53.3,51.8
1907,48.6,55.9,52.1,57.7,58.4,60.6,62.3,61.8,60.3,59.9,55,51.4
1908,51.6,50.5,52.5,56.1,55.2,57.9,60.9,60.5,60.9,57.1,54.3,47.8
1909,51.9,49.6,50.6,55.9,55.3,58.8,59.8,60.5,61.4,59.5,53.4,48.2
1910,46.4,NA,53.9,57.3,59.7,58.2,61,58.8,60.2,59.2,52.8,51.5
1911,49.4,47.4,53.3,54.5,55.2,58.6,61.4,61.8,59.9,58.7,52.9,48
1912,51.6,52.6,50.6,52.4,58.1,62.9,62.8,63,64.5,56.4,54.6,47.9
1913,45.9,50,51.3,54.6,56.8,60.9,63.3,65.3,64.8,58.3,54.7,49
1914,50.2,51.9,56.6,57.1,58.5,59.6,60.7,60.7,60.3,59.9,56.3,46.8
1915,49.7,51.1,55.7,56.7,56.8,59.3,62,64,61.6,56.8,52.8,48.8
1916,45.6,54.4,53.8,58.2,56.3,59,61.7,60.8,61.1,54.3,50.9,46.3
1917,46.1,49.2,48.8,53.7,54.5,59.8,63,61.4,64.7,60,55.6,53.5
1918,50.4,50.3,53.7,56.1,56.2,62.3,63.2,63.4,63,61.8,52.6,47.8
1919,49.9,49.5,51.1,56.8,58.2,61.1,61.9,62.9,61.1,56.7,52.9,49.5
1920,50.6,50.4,50.9,54.4,57.5,61.1,63,62.9,62.6,58,52.9,50.1
1921,48.4,51.9,55.1,55.1,55.7,64.3,62.8,63,62.3,60.7,55,51.5
1922,46.6,49,51.3,52.9,57.9,62.8,63.8,64,63.5,58.5,51.7,51
1923,48.3,50.1,52.2,55.2,58.8,59.5,63,64.7,63.8,59.3,57.8,50
1924,49.2,55.1,51.6,53.9,57.1,58.2,61.4,63.7,67.9,60.8,54.8,50
1925,49.2,53.1,55.5,56.7,62,62.2,64.4,63.1,63,61.8,54.9,53.5
1926,51.4,55.5,60.7,62,61.3,63.5,63.9,65.7,61.2,62.9,57.7,50.1
1927,51.8,53.3,53.1,55.4,59.8,62.2,61.3,62.1,61.3,60.7,56.2,49.7
1928,51.5,52.8,57.8,57.5,60.5,61.9,62.4,60,62,57.1,54.6,49.4
1929,47.5,49.3,51.9,53,58.8,62.6,61.2,61.3,57.9,61.5,53.8,53.6
1930,49.4,54.4,56.5,58.2,56.8,NA,NA,NA,60.9,61.1,54.9,50.2
1931,52.2,55.8,57.8,58.7,62.5,64.7,65,63.1,62,57,48.8,48
1932,46.8,49.5,54.1,54,57.8,60.3,62.5,61.6,61.4,60.4,58.7,46.2
1933,45.6,47.7,53.1,53.5,54.2,58.6,59.5,62.4,59.4,60.5,56.6,49.8
1934,50.9,53.2,57.8,56.7,60.2,60.2,64.7,63.5,62.3,58.8,55.6,51.5
1935,51.4,53.3,49.1,56.4,57.8,62.4,64,62.9,62.2,59,52.2,50.8
1936,51.3,51.5,55.2,55.4,60,64.1,65.8,64.9,65.4,62.3,56.5,49.9
1937,42.8,49.1,52.6,56.1,59.2,62.6,64.3,63.4,64.2,62.4,55.8,53.1
1938,52.3,52.3,52.1,55.5,58.5,60.6,64.3,64.7,63.5,60.5,54.5,52.5
1939,50.8,47.8,51.4,56.2,59,61,63.4,64.8,67.5,62.3,56.3,53.8
