State,Pop1990,Pop2000,Pop2010
 Alabama,4040587,4447100,4779736
 Alaska,550043,626932,710231
 Arizona,3665228,5130632,6392017
 Arkansas,2350725,2673400,2915918
 California,29760021,33871648,37253956
 Colorado,3294394,4301261,5029196
 Connecticut,3287116,3405565,3574097
 Delaware,666168,783600,897934
 District of Columbia,606900,572059,601723
 Florida,12937926,15982378,18801310
 Georgia,6478216,8186453,9687653
 Hawaii,1108229,1211537,1360301
 Idaho,1006749,1293953,1567582
 Illinois,11430602,12419293,12830632
 Indiana,5544159,6080485,6483802
 Iowa,2776755,2926324,3046355
 Kansas,2477574,2688418,2853118
 Kentucky,3685296,4041769,4339367
 Louisiana,4219973,4468976,4533372
 Maine,1227928,1274923,1328361
 Maryland,4781468,5296486,5773552
 Massachusetts,6016425,6349097,6547629
 Michigan,9295297,9938444,9883640
 Minnesota,4375099,4919479,5303925
 Mississippi,2573216,2844658,2967297
 Missouri,5117073,5595211,5988927
 Montana,799065,902195,989415
 Nebraska,1578385,1711263,1826341
 Nevada,1201833,1998257,2700551
 New Hampshire,1109252,1235786,1316470
 New Jersey,7730188,8414350,8791894
 New Mexico,1515069,1819046,2059179
 New York,17990455,18976457,19378102
 North Carolina,6628637,8049313,9535483
 North Dakota,638800,642200,672591
 Ohio,10847115,11353140,11536504
 Oklahoma,3145585,3450654,3751351
 Oregon,2842321,3421399,3831074
 Pennsylvania,11881643,12281054,12702379
 Rhode Island,1003464,1048319,1052567
 South Carolina,3486703,4012012,4625364
 South Dakota,696004,754844,814180
 Tennessee,4877185,5689283,6346105
 Texas,16986510,20851820,25145561
 Utah,1722850,2233169,2763885
 Vermont,562758,608827,625741
 Virginia,6187358,7078515,8001024
 Washington,4866692,5894121,6724540
 West Virginia,1793477,1808344,1852994
 Wisconsin,4891769,5363675,5686986
 Wyoming,453588,493782,563626
