name,pop2013,pop2010,pop2000,houseseats2013,electors2012
 California,38332521,37253956,33871648,53,55
 Texas,26448193,25145561,20851820,36,38
 New York,19651127,19378102,18976457,27,29
 Florida,19552860,18801310,15982378,27,29
 Illinois,12882135,12830632,12419293,18,20
 Pennsylvania,12773801,12702379,12281054,18,20
 Ohio,11570808,11536504,11353140,16,18
 Georgia,9992167,9687653,8186453,14,16
 Michigan,9895622,9883640,9938444,14,16
 North Carolina,9848060,9535483,8049313,13,15
 New Jersey,8899339,8791894,8414350,12,14
 Virginia,8260405,8001024,7078515,11,13
 Washington,6971406,6724540,5894121,10,12
 Massachusetts,6692824,6547629,6349097,9,11
 Arizona,6626624,6392017,5130632,9,11
 Indiana,6570902,6483802,6080485,9,11
 Tennessee,6495978,6346105,5689283,9,11
 Missouri,6044171,5988927,5595211,8,10
 Maryland,5928814,5773552,5296486,8,10
 Wisconsin,5742713,5686986,5363675,8,10
 Minnesota,5420380,5303925,4919479,8,10
 Colorado,5268367,5029196,4301261,7,9
 Alabama,4833722,4779736,4447100,7,9
 South Carolina,4774839,4625364,4012012,7,9
 Louisiana,4625470,4533372,4468976,6,8
 Kentucky,4395295,4339367,4041769,6,8
 Oregon,3930065,3831074,3421399,5,7
 Oklahoma,3850568,3751351,3450654,5,7
 Connecticut,3596080,3574097,3405565,5,7
 Iowa,3090416,3046355,2926324,4,6
 Mississippi,2991207,2967297,2844658,4,6
 Arkansas,2959373,2915918,2673400,4,6
 Utah,2900872,2763885,2233169,4,6
 Kansas,2893957,2853118,2688418,4,6
 Nevada,2790136,2700551,1998257,4,6
 New Mexico,2085287,2059179,1819046,3,5
 Nebraska,1868516,1826341,1711263,3,5
 West Virginia,1854304,1852994,1808344,3,5
 Idaho,1612136,1567582,1293953,2,4
 Hawaii,1404054,1360301,1211537,2,4
 Maine,1328302,1328361,1274923,2,4
 New Hampshire,1323459,1316470,1235786,2,4
 Rhode Island,1051511,1052567,1048319,2,4
 Montana,1015165,989415,902195,1,3
 Delaware,925749,897934,783600,1,3
 South Dakota,844877,814180,754844,1,3
 Alaska,735132,710231,626932,1,3
 North Dakota,723393,672591,642200,1,3
 District of Columbia,646449,601723,572059,NA,3
 Vermont,626630,625741,608827,1,3
 Wyoming,582658,563626,493782,1,3
