yield  fertilizer  seed
29.80614 F1 C1
29.59790 F1 C1
30.22806 F1 C1
29.97708 F1 C1
28.69785 F2 C1
29.33725 F2 C1
29.16959 F2 C1
28.74621 F2 C1
25.96747 F3 C1
26.46589 F3 C1
26.33901 F3 C1
25.92827 F3 C1
31.13882 F1 C2
30.71501 F1 C2
31.10630 F1 C2
30.87779 F1 C2
32.14567 F2 C2
32.27380 F2 C2
32.20063 F2 C2
31.84127 F2 C2
35.75334 F3 C2
36.19524 F3 C2
35.78164 F3 C2
36.20458 F3 C2
32.03386 F1 C3
31.94037 F1 C3
31.27246 F1 C3
31.95182 F1 C3
31.98665 F2 C3
32.24263 F2 C3
32.04027 F2 C3
31.63631 F2 C3
30.18718 F3 C3
30.21784 F3 C3
29.88492 F3 C3
30.11773 F3 C3
33.05694 F1 C4
32.92708 F1 C4
33.10014 F1 C4
33.39080 F1 C4
30.09204 F2 C4
30.08059 F2 C4
29.87813 F2 C4
29.87831 F2 C4
29.26740 F3 C4
28.96421 F3 C4
28.76582 F3 C4
28.83730 F3 C4
